,Energy,Industry,Agriculture,Waste,valueColumn
BC,0.0,22.14,0.01,0.59,2010
NOx,118.75999999999999,1231.68,92.62,0.7,2011
SO2,0.0,309.21,79.88999999999999,0.12,2011
NMVOC,306.15999999999997,266.21000000000004,677.0699999999999,23.25,2011
NH3,590.31,18.82,12.479999999999999,3.14,2011
CO,0.0,2706.04,828.27,20.91,2011
TSP,59.62,122.38,208.32,9.49,2011
PM 10,30.58,97.91999999999999,90.80000000000001,7.32,2011
PM 2.5,4.55,77.83,26.0,6.59,2011
BC,0.0,20.36,0.01,0.62,2011
NOx,121.24,1223.17,89.65,0.7,2012
SO2,0.0,295.89,75.77,0.12,2012
NMVOC,309.22,248.80999999999997,676.15,22.669999999999998,2012
NH3,597.61,17.36,12.340000000000002,3.25,2012
CO,0.0,2482.05,792.34,20.72,2012
TSP,61.72,120.82000000000001,204.38,9.35,2012
PM 10,31.130000000000003,97.44,88.53999999999999,7.21,2012
PM 2.5,4.6,77.11,25.35,6.48,2012
BC,0.0,19.02,0.01,0.62,2012
NOx,122.14000000000001,1222.47,88.95,0.71,2013
SO2,0.0,285.04,75.19,0.12,2013
NMVOC,314.74,243.41,632.1099999999999,22.13,2013
NH3,604.8,16.7,12.219999999999999,3.24,2013
CO,0.0,2423.23,811.15,20.52,2013
TSP,62.97,119.71000000000001,213.91000000000003,9.19,2013
PM 10,31.71,95.46,91.38,7.07,2013
PM 2.5,4.699999999999999,75.36,25.35,6.35,2013
BC,0.0,18.12,0.01,0.61,2013
NOx,125.63000000000001,1173.77,89.22,0.75,2014
SO2,0.0,266.11,72.89,0.13,2014
NMVOC,318.14,228.13000000000002,605.97,21.610000000000003,2014
NH3,613.3299999999999,15.7,12.2,3.44,2014
CO,0.0,2243.08,827.85,20.33,2014
TSP,63.23,111.26,212.73000000000002,9.23,2014
PM 10,31.669999999999998,87.17,91.59,7.119999999999999,2014
PM 2.5,4.699999999999999,67.15,25.73,6.41,2014
BC,0.0,16.349999999999998,0.01,0.6100000000000001,2014
NOx,126.69,1147.3700000000001,86.95,0.78,2015
SO2,0.0,263.8,71.9,0.13,2015
NMVOC,315.29,230.8,580.05,21.130000000000003,2015
NH3,610.1,15.100000000000001,12.01,3.45,2015
CO,0.0,2337.96,835.48,20.14,2015
TSP,62.28,110.27,205.89999999999998,9.299999999999999,2015
PM 10,31.259999999999998,86.09,89.63,7.22,2015
PM 2.5,4.65,65.83,25.55,6.51,2015
BC,0.0,15.28,0.01,0.6200000000000001,2015
NOx,126.16000000000001,1125.26,85.99000000000001,0.77,2016
SO2,0.0,241.95000000000002,69.25999999999999,0.13,2016
NMVOC,312.76,225.1,583.23,20.67,2016
NH3,607.82,14.860000000000001,11.94,3.54,2016
CO,0.0,2234.04,806.9000000000001,19.94,2016
TSP,61.95,106.25,183.49,9.26,2016
PM 10,30.990000000000002,82.72,78.71000000000001,7.199999999999999,2016
PM 2.5,4.59,62.67,23.200000000000003,6.5,2016
BC,0.0,14.22,0.01,0.6200000000000001,2016
NOx,121.33,1077.79,89.22,0.79,2017
SO2,0.0,231.36,71.19,0.13,2017
NMVOC,310.68,222.15,593.93,20.29,2017
NH3,593.98,14.52,11.93,3.6,2017
CO,0.0,2210.21,851.66,19.74,2017
TSP,61.989999999999995,103.85,198.26999999999998,9.12,2017
PM 10,30.95,80.76,83.66,7.08,2017
PM 2.5,4.56,60.769999999999996,24.03,6.390000000000001,2017
BC,0.0,13.27,0.01,0.6000000000000001,2017
NOx,115.69,1003.67,86.82000000000001,0.83,2018
SO2,0.0,221.84,69.58,0.14,2018
NMVOC,305.68,214.3,584.8399999999999,19.91,2018
NH3,572.12,13.77,11.8,3.48,2018
CO,0.0,2114.3399999999997,822.86,19.55,2018
TSP,60.989999999999995,101.59,211.89999999999998,9.079999999999998,2018
PM 10,30.61,78.36,91.01,7.05,2018
PM 2.5,4.47,58.4,25.43,6.369999999999999,2018
BC,0.0,11.88,0.01,0.6000000000000001,2018
NOx,112.23,935.62,84.76,0.83,2019
SO2,0.0,195.27,67.9,0.14,2019
NMVOC,304.39,214.47,583.38,18.75,2019
NH3,557.84,13.8,11.5,3.49,2019
CO,0.0,2059.39,803.29,18.36,2019
TSP,60.31,97.74000000000001,212.8,8.74,2019
PM 10,30.41,75.36,91.03,6.84,2019
PM 2.5,4.390000000000001,56.18,25.2,6.2,2019
BC,0.0,11.129999999999999,0.01,0.5900000000000001,2019
